FIPS Code,County Name,State,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent adults fully vaccinated against COVID-19 (as of 6/10/21),Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White,Geographical Point,State Code
1123,"Tallapoosa County, Alabama",ALABAMA,18.06%,24%,13.83%,0.89,Very High Vulnerability,0.64,High Concern,30.50%,2.42%,0.22%,0.36%,26.97%,0%,68.87%,POINT (-86.844516 32.756889),AL
1121,"Talladega County, Alabama",ALABAMA,17.83%,23.50%,13.68%,0.87,Very High Vulnerability,0.84,Very High Concern,26.50%,2.29%,0.43%,0.61%,32.37%,0.03%,62.63%,POINT (-86.844516 32.756889),AL
1131,"Wilcox County, Alabama",ALABAMA,17.35%,23.57%,13.37%,0.93,Very High Vulnerability,0.94,Very High Concern,39.40%,0.53%,0.09%,0.03%,69.38%,0%,26.84%,POINT (-86.844516 32.756889),AL
1129,"Washington County, Alabama",ALABAMA,17.35%,23.57%,13.37%,0.73,High Vulnerability,0.82,Very High Concern,30.80%,1.46%,7.31%,0.25%,23.54%,0%,64.95%,POINT (-86.844516 32.756889),AL
1119,"Sumter County, Alabama",ALABAMA,18.08%,25.26%,13.90%,0.96,Very High Vulnerability,0.96,Very High Concern,36.20%,0.53%,0.07%,2.14%,71.92%,0%,24.81%,POINT (-86.844516 32.756889),AL
1133,"Winston County, Alabama",ALABAMA,18.05%,23.13%,13.79%,0.7,High Vulnerability,0.8,High Concern,16.30%,3.15%,0.34%,0.16%,0.73%,0.05%,93.70%,POINT (-86.844516 32.756889),AL
1127,"Walker County, Alabama",ALABAMA,18.55%,24.04%,14.31%,0.75,High Vulnerability,0.68,High Concern,35.70%,2.49%,0.15%,0.49%,6.17%,0%,88.95%,POINT (-86.844516 32.756889),AL
2013,"Aleutians East Borough, Alaska",ALASKA,23.61%,28.84%,17.04%,0.58,Moderate Vulnerability,0.87,Very High Concern,67.20%,9.01%,45.88%,19.68%,3.22%,1%,13.21%,POINT (-151.631889 63.631126),AK
1117,"Shelby County, Alabama",ALABAMA,14.22%,18.09%,10.56%,0.12,Very Low Vulnerability,0.25,Low Concern,26.60%,5.72%,0.26%,2.06%,12.02%,0.02%,77.87%,POINT (-86.844516 32.756889),AL
2016,"Aleutians West Census Area, Alaska",ALASKA,23.61%,28.84%,17.04%,0.49,Moderate Vulnerability,0.77,High Concern,47.50%,14.06%,10.48%,39.63%,3.35%,2.65%,23.83%,POINT (-151.631889 63.631126),AK
